date,code,open,high,low,close,prev_close,change,change_pct,volume,amount
20260519,600001.SH,15.93,16.20,15.56,15.88,15.76,0.12,0.76,1000000,12000000
20260520,600001.SH,16.05,16.32,15.68,16.00,15.88,0.12,0.76,1000000,12000000
20260521,600001.SH,16.17,16.44,15.80,16.12,16.00,0.12,0.75,1000000,12000000
20260522,600001.SH,16.29,16.56,15.92,16.24,16.12,0.12,0.74,1000000,12000000
20260523,600001.SH,16.41,16.69,16.03,16.36,16.24,0.12,0.74,1000000,12000000
20260524,600001.SH,16.53,16.81,16.15,16.48,16.36,0.12,0.73,1000000,12000000
20260525,600001.SH,16.65,16.93,16.27,16.60,16.48,0.12,0.73,1000000,12000000
20260526,600001.SH,16.77,17.05,16.39,16.72,16.60,0.12,0.72,1000000,12000000
20260527,600001.SH,16.89,17.18,16.50,16.84,16.72,0.12,0.72,1000000,12000000
20260528,600001.SH,17.01,17.30,16.62,16.96,16.84,0.12,0.71,1000000,12000000
20260529,600001.SH,17.13,17.42,16.74,17.08,16.96,0.12,0.71,1000000,12000000
20260530,600001.SH,17.25,17.54,16.86,17.20,17.08,0.12,0.70,1000000,12000000
20260601,600001.SH,17.37,17.67,16.97,17.32,17.20,0.12,0.70,1000000,12000000
20260602,600001.SH,17.49,17.79,17.09,17.44,17.32,0.12,0.69,1000000,12000000
20260603,600001.SH,17.61,17.91,17.21,17.56,17.44,0.12,0.69,1000000,12000000
20260604,600001.SH,17.73,18.03,17.33,17.68,17.56,0.12,0.68,1000000,12000000
20260605,600001.SH,17.85,18.16,17.44,17.80,17.68,0.12,0.68,1000000,12000000
20260606,600001.SH,17.97,18.28,17.56,17.92,17.80,0.12,0.67,1000000,12000000
